adsh	tag	version	coreg	ddate	qtrs	uom	value	footnote
0001104659-09-029605	CostOfSalesDomesticCompanyOwned	0001104659-09-029605		20090331	1	USD	25901000.0000	
0000831259-09-000047	LossOnEarlyExtinguishmentAndConversionOfDebt	0000831259-09-000047		20090331	1	USD	0.0000	
0001104659-09-029605	IncreaseDecreaseInAccountsReceivable	us-gaap/2008		20090331	1	USD	115000.0000	
0000891618-09-000150	WeightedAverageNumberOfDilutedSharesOutstanding	us-gaap/2008		20090331	1	shares	473000000.0000	
0000950134-09-009913	AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation	us-gaap/2008		20090331	1	USD	-2113000.0000	
0001193125-09-109617	TreasuryStockShares	us-gaap/2008		20081231	0	shares	15000000.0000	
0001104659-09-025790	CashAndCashEquivalentsPeriodIncreaseDecrease	us-gaap/2008		20080331	1	USD	29722000.0000	
0001031296-09-000011	IncreaseDecreaseInInventories	us-gaap/2008		20090331	1	USD	-7000000.0000	
0001193125-09-111401	SellingAndMarketingExpense	us-gaap/2008		20080331	1	USD	1215000.0000	
0001104659-09-029605	RestaurantAndCommissarySalesInternational	0001104659-09-029605		20080331	1	USD	5833000.0000	
0000891618-09-000166	ProceedsFromSaleAndMaturityOfMarketableSecurities	us-gaap/2008		20080331	1	USD	138000000.0000	
0001031296-09-000011	IncreaseDecreaseInOtherOperatingCapitalNet	us-gaap/2008		20090331	1	USD	18000000.0000	
0001193125-09-109617	DeferredTaxAssetsNetNoncurrent	us-gaap/2008		20081231	0	USD	671000000.0000	
0001031296-09-000011	EarningsPerShareBasic	us-gaap/2008		20090331	1	pure	0.3900	
0001002638-09-000023	MaintenanceRevenue	us-gaap/2008		20080331	3	USD	268524000.0000	
0000038074-09-000029	LiabilitiesCurrent	us-gaap/2008		20080331	0	USD	610825000.0000	
0001193125-09-124260	WeightedAverageNumberOfSharesOutstandingBasic	us-gaap/2008		20080430	1	shares	226200000.0000	
0000038074-09-000029	PropertyPlantAndEquipmentNet	us-gaap/2008		20080331	0	USD	350037000.0000	
0001104659-09-029605	DomesticCompanyOwnedRestaurantExpensesTotal	0001104659-09-029605		20090331	1	USD	100921000.0000	
0001104659-09-029605	PaymentsToAcquireAvailableForSaleSecurities	us-gaap/2008		20090331	1	USD	97000.0000	
0000277948-09-000066	EmployeeRelatedLiabilities	us-gaap/2008		20081231	0	USD	465000000.0000	
0000950123-09-008550	LiabilitiesAndStockholdersEquity	us-gaap/2008		20090331	0	USD	510647000.0000	
0001193125-09-101273	Goodwill	us-gaap/2008		20090331	0	USD	2385700000.0000	
0000092380-09-000018	CargoAndFreightRevenue	us-gaap/2008		20080331	1	USD	34000000.0000	
0001193125-09-088639	AccountsReceivableNetCurrent	us-gaap/2008		20090331	0	USD	259879000.0000	
0001193125-09-109617	StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest	0001193125-09-109617		20090331	0	USD	6327000000.0000	
